name,nation,genre,director,actor,audits
베스트셀러,한국,"['미스터리', '스릴러', '드라마']",['이정호'],"['엄정화', '류승룡', '이도경', '김화영', '조상원', '남동협', '박혁', '주명훈', '강정식', '김대영', '이연', '이준호', '박사랑', '김홍파', '최무성', '조진웅', '이성민', '오정세', '이용녀', '조희봉', '서이숙', '김종대']",15세이상관람가
타이탄,미국,"['액션', '어드벤처', '판타지']",['루이스 리테리어'],"['랄프 파인즈', '샘 워싱턴', '리암 니슨', '알렉사 다바로스', '젬마 아터튼']",12세이상관람가
육혈포 강도단,한국,"['코미디', '드라마', '액션']",['강효진'],"['나문희', '김수미', '김혜옥', '임창정', '김희원', '김광규', '강경헌', '성소원', '김민태', '박영희', '함성원', '김기환', '강선미', '강선미', '서성종', '김규동', '최동헌', '유영채', '윤미영', '이채은', '라미란', '장원영', '남문철', '서승원', '이세랑']",15세이상관람가
이상한 나라의 앨리스,미국,"['판타지', '어드벤처', '가족']",['팀 버튼'],"['조니 뎁', '앤 해서웨이', '헬레나 본햄 카터', '크리스핀 글로버', '미아 와시코브스카', '마튼 초카스']",전체관람가
의형제,한국,"['드라마', '액션']",['장훈'],"['송강호', '강동원', '전국환', '박혁권', '윤희석', '최정우', '정인기', '설진욱', '강명희', '홍서백', '박용진', '김의용', '황순욱', '황인준', '박현수', '김남희', '김태환', '박민우', '임세환', '최윤서', '김진용', '주부진', '이현지', '백승익', '차엽', '박진우', '김광규', '고창석', '배용근', '유하복']",15세이상관람가
뉴 문,미국,"['판타지', '드라마', '멜로/로맨스']",['크리스 웨이츠'],"['로버트 패틴슨', '크리스틴 스튜어트']",12세이상관람가
2012,미국,"['SF', '액션', '어드벤처']",['롤랜드 에머리히'],"['존 쿠삭', '아만다 피트', '올리버 플랫', '탠디 뉴튼', '치웨텔 에지오포']",12세이상관람가
굿모닝 프레지던트,한국,"['코미디', '드라마']",['장진'],"['한동학', '장동건', '이순재', '고두심', '한채영', '허정규', '송기관', '송영규', '박일', '최지나', '김현동', '서정민', '김광현', '유승희', '윤동현', '전유진', '이은영', '김재호', '최은영', '김용숙', '박희건', '임하룡', '조덕현', '장영남', '이철민', '김원해', '이한위', '이해영', '전국환', '김인우']",전체관람가
디스트릭트 9,미국,"['SF', '액션', '스릴러', '드라마', '코미디']",['닐 블롬캠프'],"['샬토 코플리', '제이슨 코프']",청소년관람불가
내 사랑 내 곁에,한국,"['드라마', '멜로/로맨스']",['박진표'],"['하지원', '김명민', '남능미', '임하룡', '최종률', '신신애', '임종윤', '임형준', '임성민', '가인', '장원영', '김여진', '김광규', '정의철', '김혜림', '임훈', '유지연', '유승목', '신치영', '김영필', '강신일', '송영창', '설경구', '박현영']",12세이상관람가
