yearWeekTime,rank,movieCd,movieNm,openDt,salesAmt,salesAcc,audiCnt,audiAcc,scrnCnt,showCnt
201041,7,20100980,22 블렛,2010-10-14,620434500,623026500,80907,81231,237,5709
201041,8,20100991,먹고 기도하고 사랑하라,2010-09-30,526172000,3438392000,73367,467636,252,5112
201041,9,20100214,아저씨,2010-08-04,244525500,46961935000,32582,6159200,158,2374
201041,10,20100814,슈퍼  배드,2010-09-16,266301500,9467732000,29182,997452,147,1664
201040,1,20100834,시라노; 연애조작단,2010-09-16,2759520000,16108982500,381516,2159649,383,12580
201040,2,20100835,방가? 방가!,2010-09-30,2026462500,3685299000,277620,500351,272,10284
201040,3,20100977,적인걸: 측천무후의 비밀,2010-10-06,1690484000,1718313000,227408,232306,286,6959
201040,4,20100991,먹고 기도하고 사랑하라,2010-09-30,1213588000,2912220000,166362,394269,303,8992
201040,5,20100975,레터스 투 줄리엣,2010-10-06,1217458500,1248682500,161609,168329,283,7157
201040,6,20100833,무적자,2010-09-16,658090500,11457556500,91140,1520332,302,7826
201040,7,20100814,슈퍼  배드,2010-09-16,697435000,9201430500,77424,968270,225,3571
201040,8,20100305,해결사,2010-09-09,529472000,13715683000,73291,1824666,268,6411
201040,9,20100214,아저씨,2010-08-04,521244500,46717409500,67645,6126618,178,4105
201040,10,20100811,레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,630550000,14425662000,52831,1180691,243,5518
201039,1,20100834,시라노; 연애조작단,2010-09-16,3297970000,13349462500,443594,1778133,411,13446
201039,2,20100991,먹고 기도하고 사랑하라,2010-09-30,1698632000,1698632000,227907,227907,324,5748
201039,3,20100835,방가? 방가!,2010-09-30,1483705500,1658836500,199382,222731,277,6377
201039,4,20100833,무적자,2010-09-16,1322429000,10799466000,179237,1429192,372,11804
201039,5,20100305,해결사,2010-09-09,1022179000,13186211000,137620,1751375,308,9912
201039,6,20100811,레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,1597112500,13795112000,132894,1127860,306,9712
201039,7,20100814,슈퍼  배드,2010-09-16,948237500,8503995500,99962,890846,277,4984
201039,8,20100214,아저씨,2010-08-04,729620500,46196165000,95909,6058973,219,4647
201039,9,20100810,마루 밑 아리에티,2010-09-09,369289500,7478455500,51820,1041060,236,4197
201039,10,20100813,퀴즈왕,2010-09-16,275334000,4102238000,38559,558668,269,4932
201038,1,20100834,시라노; 연애조작단,2010-09-16,7288150500,10051492500,960309,1334539,415,14283
201038,2,20100833,무적자,2010-09-16,6615124500,9477037000,868915,1249955,407,14678
201038,3,20100811,레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,7670964000,12197999500,626234,994966,337,13374
201038,4,20100814,슈퍼  배드,2010-09-16,5792095000,7555758000,609466,790884,338,8927
201038,5,20100305,해결사,2010-09-09,4595111000,12164032000,605561,1613755,349,12298
201038,6,20100810,마루 밑 아리에티,2010-09-09,2407539500,7109166000,334794,989240,276,7522
201038,7,20100813,퀴즈왕,2010-09-16,2479725500,3826904000,334016,520109,288,9740
